Running model: Q1_ExRNN_hidden64
Epoch [1/10] | Step [400/938] | Train Loss: 0.4902 | Test Loss: 0.5726 | Train Acc: 0.7332 | Test Acc: 0.7532
Epoch [1/10] | Step [450/938] | Train Loss: 0.5431 | Test Loss: 0.4832 | Train Acc: 0.7595 | Test Acc: 0.7506
Epoch [1/10] | Step [500/938] | Train Loss: 0.4669 | Test Loss: 0.5805 | Train Acc: 0.7781 | Test Acc: 0.7001
Epoch [1/10] | Step [550/938] | Train Loss: 0.5615 | Test Loss: 0.4774 | Train Acc: 0.6744 | Test Acc: 0.7650
Epoch [1/10] | Step [600/938] | Train Loss: 0.5846 | Test Loss: 0.4341 | Train Acc: 0.6999 | Test Acc: 0.8280
Epoch [1/10] | Step [650/938] | Train Loss: 0.4105 | Test Loss: 0.5040 | Train Acc: 0.7796 | Test Acc: 0.7656
Epoch [1/10] | Step [700/938] | Train Loss: 0.5747 | Test Loss: 0.3857 | Train Acc: 0.7231 | Test Acc: 0.8531
Epoch [1/10] | Step [750/938] | Train Loss: 0.4914 | Test Loss: 0.4762 | Train Acc: 0.7751 | Test Acc: 0.7706
Epoch [1/10] | Step [800/938] | Train Loss: 0.5778 | Test Loss: 0.4730 | Train Acc: 0.7360 | Test Acc: 0.7791
Epoch [1/10] | Step [850/938] | Train Loss: 0.4785 | Test Loss: 0.4482 | Train Acc: 0.8097 | Test Acc: 0.7558
Epoch [1/10] | Step [900/938] | Train Loss: 0.3024 | Test Loss: 0.3416 | Train Acc: 0.9021 | Test Acc: 0.8512
Epoch [2/10] | Step [50/938] | Train Loss: 0.4725 | Test Loss: 0.4595 | Train Acc: 0.7512 | Test Acc: 0.7702
Epoch [2/10] | Step [100/938] | Train Loss: 0.4047 | Test Loss: 0.3930 | Train Acc: 0.8681 | Test Acc: 0.7540
Epoch [2/10] | Step [150/938] | Train Loss: 0.4027 | Test Loss: 0.3919 | Train Acc: 0.8015 | Test Acc: 0.8258
